National Geographic,natgeosinglecopy@cdsfulfillment.com
SP Global,support.CIQ@spglobal.com
BP,bpconsum@bp.com
United Nations,education-outreach@un.org
Atkins,atkins@worldpantry.com
General Motors,chad.lyons@gm.com shauna.sichi@gm.com
General Mills,boardofdirectors@genmills.com
Intel,relations@intel.com
Regenerative Agriculture Foundation
11th Hour Project,info@11thhourproject.org
Nutiva Foundation,partners@nutiva.com
Organic Consumers Association,Katherine@ OrganicConsumers.org
tiE,swm@tufts.edu
Earth Challenge,earthchallenge2020@earthday.org
BCC,its@bristolcc.edu
Bionutrient Food Association, info@bionutrient.org
Cambridge Naturals,info@cambridgenaturals.com
Center for Food Safety,pr@centerforfoodsafety.org 
Carbon Drawdown Solutions,info@cdsbiochar.com   
Equal Exchange,orders@equalexchange.coop
Flag Hill Farm,vermontcider@gmail.com 
Project Green Schools,info@projectgreenschools.org
Community Works Institute,jbrooks@communityworksinstitute.org
Smithsonian Institute,info@si.edu
Annual Georgia Environmental Conference,JGeraghty@CentergyGroup.com
Well Done Foundation,info@welldonefoundation.com
Tree-Plenish,treeplenishteam@gmail.com
Mafanikio Community Based Organization,info@mafanikiokenya.org
Friends of the Alawife  Reservation,info@friendsofalewifereservation.org
NOFA,Mass,info@nofamass.org
Wright,Locke Farm,amcintyre@wlfarm.org 
Climate Action Buisness Association,info@cabaus.org
Better Future Project,info@betterfutureproject.org
The Carbon Farming Course,info@carbonfarmingcourse.com
The Carbon Underground,rfiat@thecarbonunderground.org
Chelsea Green Publishing,publicity@chelseagreen.com
Citizens' Climate Lobby ,ccl@citizensclimatelobby.org
ClimateStore,ideas@climatestore.com
Community Solutions,info@cmtysolutions.org
Aviator Sports And Events Center,Dean@aviatorsports.com
National Forest Foundation,bholewinski@nationalforests.org
Very Juice Bar,veryjuicebar@gmail.com
NYU Langone Brooklyn Medical Associates,
NetCost Market,info@netcostmarket.com
Opera Cafe & Lounge,OPeraCafeNY@gmail.com
In Our Backyards,info@inourbackyard.org
ACS Environmental Services,info@acsenvironmentalinc.com
Accredited Environmental Solutions Team,info@epafirm.com
Lower East Side Ecology Center,info@lesecologycenter.org
Green Schools Alliance,info@greenschoolsalliance.org
Waterkeeper Alliance ,info@waterkeeper.org
greenvelope,info@greenvelope.com
optoro,inquiries@optoro.com
Cuiaine by Claudette,cuisinebyclaudette@gmail.com
Sunshine studios ,Sunshinestudiosny@aol.com
La Raza Grocery & Deli Inc,Bkpolo26@gmail.com
